Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704584673,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,3,5,5,5,5,5,40,40,1.3633039998239838,1.6106432001151916,1.3633039998239838,5.254916000012599,0.0
1704584674,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,3,5,5,5,5,5,40,40,1.3633039998239838,1.6106432001151916,1.3633039998239838,5.254916000012599,0.0
1704584675,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,3,5,5,5,5,5,40,40,1.3633039998239838,1.6106432001151916,1.3633039998239838,5.254916000012599,0.0
1704584676,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,41,41,1.3633039998239838,1.6057032440008565,1.3633039998239838,5.254916000012599,0.0
1704584677,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,41,41,1.3633039998239838,1.6057032440008565,1.3633039998239838,5.254916000012599,0.0
1704584678,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,41,41,1.3633039998239838,1.6057032440008565,1.3633039998239838,5.254916000012599,0.0
1704584679,1,,Aggregated,0.600000,0.600000,1,2,2,2,2,2,5,5,5,5,5,42,42,1.3577049994637491,1.59979852389283,1.3577049994637491,5.254916000012599,0.0
1704584680,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,43,43,1.3577049994637491,1.5945149303069082,1.3577049994637491,5.254916000012599,0.0
1704584681,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,43,43,1.3577049994637491,1.5945149303069082,1.3577049994637491,5.254916000012599,0.0
1704584682,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,5,5,5,5,5,44,44,1.3577049994637491,1.5908169773410918,1.3577049994637491,5.254916000012599,0.0
1704584683,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,5,5,5,5,5,44,44,1.3577049994637491,1.5908169773410918,1.3577049994637491,5.254916000012599,0.0
1704584684,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,45,45,1.3577049994637491,1.5917122889530018,1.3577049994637491,5.254916000012599,0.0
1704584685,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,45,45,1.3577049994637491,1.5917122889530018,1.3577049994637491,5.254916000012599,0.0
1704584686,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,45,45,1.3577049994637491,1.5917122889530018,1.3577049994637491,5.254916000012599,0.0
1704584687,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,46,46,1.3577049994637491,1.5883795218028156,1.3577049994637491,5.254916000012599,0.0
1704584688,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,46,46,1.3577049994637491,1.5883795218028156,1.3577049994637491,5.254916000012599,0.0
1704584689,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,5,5,5,5,5,47,47,1.3577049994637491,1.5892843404915455,1.3577049994637491,5.254916000012599,0.0
1704584690,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,5,5,5,5,5,47,47,1.3577049994637491,1.5892843404915455,1.3577049994637491,5.254916000012599,0.0
1704584691,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,48,48,1.3577049994637491,1.587063937563471,1.3577049994637491,5.254916000012599,0.0
1704584692,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,49,49,1.3577049994637491,1.5832708980139745,1.3577049994637491,5.254916000012599,0.0
1704584693,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,49,49,1.3577049994637491,1.5832708980139745,1.3577049994637491,5.254916000012599,0.0
1704584694,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,49,49,1.3577049994637491,1.5832708980139745,1.3577049994637491,5.254916000012599,0.0
1704584695,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,5,5,5,5,5,50,50,1.3577049994637491,1.5808215800643666,1.3577049994637491,5.254916000012599,0.0
1704584696,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,3,5,5,5,5,51,51,1.3577049994637491,1.5767075294884396,1.3577049994637491,5.254916000012599,0.0
1704584697,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,3,5,5,5,5,51,51,1.3577049994637491,1.5767075294884396,1.3577049994637491,5.254916000012599,0.0
1704584698,1,,Aggregated,0.400000,0.400000,1,2,2,2,2,2,3,5,5,5,5,51,51,1.3577049994637491,1.5767075294884396,1.3577049994637491,5.254916000012599,0.0
1704584699,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,3,5,5,5,5,52,52,1.3577049994637491,1.577938269310135,1.3577049994637491,5.254916000012599,0.0
1704584700,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,3,5,5,5,5,52,52,1.3577049994637491,1.577938269310135,1.3577049994637491,5.254916000012599,0.0
1704584701,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,3,5,5,5,5,53,53,1.3577049994637491,1.5801244529046805,1.3577049994637491,5.254916000012599,0.0
1704584702,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,3,5,5,5,5,53,53,1.3577049994637491,1.5801244529046805,1.3577049994637491,5.254916000012599,0.0
1704584703,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,3,5,5,5,5,53,53,1.3577049994637491,1.5801244529046805,1.3577049994637491,5.254916000012599,0.0
1704584704,1,,Aggregated,0.600000,0.600000,1,2,2,2,2,2,3,5,5,5,5,54,54,1.3577049994637491,1.577638907477834,1.3577049994637491,5.254916000012599,0.0
1704584705,1,,Aggregated,0.600000,0.600000,1,2,2,2,2,2,3,5,5,5,5,54,54,1.3577049994637491,1.577638907477834,1.3577049994637491,5.254916000012599,0.0
1704584706,1,,Aggregated,0.500000,0.500000,1,2,2,2,2,2,3,5,5,5,5,55,55,1.3577049994637491,1.5743982909705003,1.3577049994637491,5.254916000012599,0.0
